doi,altmetric_score,Full-text_change,Full-text_m1,abstract_change,abstract_m1,author_count,neutral_results,confirmatory_results,contradictory_results,new_results,extend_p,funded,influentialReferencesCount,num_hypo_tested,num_significant,p_val_range,pdf_change,pdf_m1,reading_score,real_p,real_p_sign,reference_background,reference_methodology,reference_result,references_count,sample_size,sentiment,subjectivity,tweets_within_month,univ_rank,published_within_year
10.1101/2020.06.25.172510,53.45,79,27,196,1447,20,0,0,0,1,1,0,0,0,0,0,167,197,32.4,1,0,0,0,0,26,0,1,0.543652597,76,2,0
10.1101/2020.06.25.172528,0.5,78,10,-4,523,8,0,0,0,1,1,0,1,0,0,0,9,72,25.93,1,0,2,1,0,12,0,0,0.75,4,2,0
10.1101/2020.06.25.172734,5.2,63,0,50,643,12,0,0,0,1,1,0,0,1,0,0,46,156,38.76,0.001,0,0,0,0,7,28,0,0.381688312,7,2,0
10.1101/2020.06.25.20137398,147.066,0,0,1785,625,9,1,0,0,0,1,1,0,0,0,0,1366,232,43.73,1,0,0,0,0,12,0,0,0.411813187,23,2,0
10.1101/2020.06.25.20138131,1,0,0,-183,447,14,1,0,0,0,1,1,1,2,1,0.327,-6,111,54.22,0,0,6,1,1,12,7826,0,0.610795455,5,2,0
10.1101/2020.06.25.20139840,11.35,0,0,-343,831,1,1,0,0,0,1,0,1,36,24,0.09,-36,185,44.78,0.01,-1,12,2,0,18,42,0,0.244444444,7,2,0
10.1101/2020.06.25.20139865,0.5,0,0,-274,516,2,1,0,0,0,1,0,0,0,0,0,-50,124,46.47,1,0,7,0,0,10,0,0,0.49375,2,2,0
10.1101/2020.06.25.20139915,25.8,0,0,-480,997,7,1,0,0,0,1,1,0,8,8,0.049,-28,223,29.38,0.001,-1,0,0,0,36,177,0,0.359575569,32,0.396039604,1
10.1101/2020.06.25.20139956,1.5,0,0,-381,688,1,1,0,0,0,1,0,0,1,1,0,-60,135,48.84,0,0,1,1,0,8,0,0,0.517222222,2,0.920792079,1
10.1101/2020.06.25.20139998,2,0,0,777,253,10,1,0,0,0,1,1,0,0,0,0,102,55,-52.71,1,0,0,0,0,13,0,0,0.666193182,13,2,1
10.1101/2020.06.25.20140004,50.1,0,0,-168,578,2,1,0,0,0,1,0,0,0,0,0,-3,128,48.23,1,0,0,0,0,30,0,1,0.496463078,235,2,0
10.1101/2020.06.25.20140061,486.802,0,0,-4407,7066,8,1,0,0,0,1,0,-1,0,0,0,-1164,2559,31.51,1,0,-1,-1,-1,40,0,1,0.351370851,485,2,1
10.1101/2020.06.25.20140178,220.272,0,0,5521,1271,17,1,0,0,0,1,1,0,5,2,0.2899,1719,262,39.37,0.0001,0,0,0,0,32,1340,0,0.334333333,99,2,1
10.1101/2020.06.25.20140236,3.35,0,0,427,407,61,1,0,0,0,1,1,1,0,0,0,208,137,20.31,1,0,24,4,0,40,0,0,0.490428571,9,2,0
10.1101/2020.06.25.20140269,1.25,0,0,90,387,12,1,0,0,0,1,0,0,0,0,0,-17,126,7.22,1,0,2,3,0,6,0,0,0.438015873,7,2,0
10.1101/2020.06.25.20140392,2,0,0,-113,488,11,1,0,0,0,1,0,-1,0,0,0,-43,114,21.33,1,0,-1,-1,-1,7,0,1,0.382048872,4,2,1
10.1101/2020.06.25.20140426,5.85,0,0,-107,592,5,1,0,0,0,1,0,0,0,0,0,84,121,38.01,1,0,1,0,0,31,0,0,0.425877193,10,2,0
10.1101/2020.06.25.20140442,6,0,0,-202,637,1,1,0,0,0,1,0,0,3,2,0,-224,349,28.43,-1000,0,3,0,0,19,0,0,0.314126984,9,2,0
10.1101/2020.06.26.171033,4.35,76,11,220,621,6,0,0,0,1,1,1,-1,2,2,0,92,195,24.48,0.01,0,-1,-1,-1,10,0,0,0.378636364,9,2,1
10.1101/2020.06.26.173146,68.1,44,37,-473,1031,13,0,0,0,1,1,1,-1,0,0,0,-35,317,38.45,1,0,-1,-1,-1,19,0,0,0.554761905,22,2,1
10.1101/2020.06.26.173203,1.25,71,11,178,455,32,0,0,0,1,1,0,-1,9,7,0,-11,166,11.65,2.20E-16,-1,-1,-1,-1,21,80,0,0.348913043,7,2,1
10.1101/2020.06.26.173476,222.15,97,149,-2410,5020,18,0,0,0,1,1,1,-1,0,0,0,-867,1665,24.78,1,0,-1,-1,-1,38,0,0,0.516190476,368,2,1
10.1101/2020.06.26.173567,1.5,33,8,74,403,4,0,0,0,1,1,1,-1,0,0,0,-17,101,35.61,1,0,-1,-1,-1,30,0,0,0.347842262,9,2,1
10.1101/2020.06.26.173765,37.1,54,32,-1062,2066,8,0,0,0,1,1,0,0,0,0,0,-154,607,13.17,1,0,0,0,0,31,0,1,0.458024691,68,2,0
